lon,lat,tas_mean,tas_trend_per_decade,tas_trend_p,huss_mean,huss_trend_per_decade,huss_trend_p,rsds_mean,rsds_trend_per_decade,rsds_trend_p,sfcwind_mean,sfcwind_trend_per_decade,sfcwind_trend_p,ps_mean,ps_trend_per_decade,ps_trend_p
118.25,35.25,14.312044,-0.039291150642163826,0.9241739692211265,8.977678,0.03256907607569839,0.8748880902988763,172.11615,1.1594321511008523,0.7957671608633219,2.5889304,0.04416133418227687,0.37589856621631307,1000.0883,-0.1976947206439394,0.5420197308456032
118.25,36.75,13.459265,0.11156480962579901,0.8234960650333639,7.8753295,-0.016250176863236862,0.9397724247553623,176.11906,5.593843402284565,0.18706549899884867,2.7725132,0.08527390162150066,0.3636314048037799,995.6376,-0.17993533972537878,0.5424620794150375
118.25,37.25,13.940912,0.23433991634484494,0.6660852600930285,7.9283457,-0.033147031610662285,0.8783329280189736,176.38132,6.346586285215436,0.1295246624907617,2.9490626,0.11319618514089873,0.23554137959067942,1013.43427,-0.18139278527462122,0.5541902022157069
118.25,37.75,13.527631,0.3893189285740708,0.5507796529914779,7.7862515,-0.037943117546312743,0.8826315661861909,178.51581,7.335333621863162,0.07061585985832049,3.4007714,0.15960817626028354,0.1635268568487512,1013.765,-0.18698212594696972,0.5344961947153296
118.25,39.25,12.619778,0.5408593958074396,0.41019970507259274,7.621303,-0.06411483071067117,0.8198105143580385,177.63362,6.3354843602035995,0.08373863455359673,3.4698458,0.1845392891854951,0.08866807347820814,1014.55084,-0.24835020123106064,0.40839533903369457
118.25,39.75,12.235386,0.5448381828539299,0.33381702219064496,7.1917815,-0.08320799740878018,0.7380655344581539,174.89299,7.203092632871685,0.06163978593085078,2.6462953,0.12904271212491122,0.1211203656585491,1009.2048,-0.25031812263257575,0.39811964880172257
118.75,24.75,22.134172,0.004087621515447443,0.9918868315560558,13.828753,0.11167185234301019,0.5547056232115711,168.99356,2.6278889973958335,0.7472353921828004,3.8858178,-0.12412458477598248,0.4258760318429101,1008.6131,-0.25538589015151514,0.5542056970838193
118.75,25.25,21.309317,-0.026405218875769416,0.9460259749281212,13.769308,0.11778941298976088,0.5524081293294815,162.82722,1.6149125532670454,0.8473943420356986,2.767119,-0.07922090183604848,0.45428011996064355,990.16534,-0.22515314275568182,0.5803989078784032
118.75,25.75,18.536316,-0.015886595754912407,0.9698914422325763,12.465329,0.12886226538455847,0.4830081379924863,153.64973,0.08405373313210228,0.9925658447539237,1.7507586,-0.04416428190289122,0.462499919600667,947.3243,-0.22355143229166666,0.505810320227231
118.75,26.25,18.291836,0.004137443773674242,0.9917783647761984,12.001132,0.17771379875414298,0.3534821017327059,150.99425,-1.7221864642518938,0.8549833951267195,1.4555907,-0.027927543177749172,0.5532606668295779,955.25214,-0.23168945312499997,0.47635873685152585
118.75,26.75,16.978786,0.03145032940488873,0.9288952050922928,11.358282,0.14872759038751776,0.40621201660761985,150.82576,-2.836047548236269,0.7445461278468276,1.5173637,-0.028409192056366894,0.6001206146114685,928.7257,-0.23851059422348486,0.39613321663336043
118.75,27.25,17.78802,0.06856976133404356,0.8394609939377212,11.486689,0.1564221237645005,0.37994837259787395,150.24133,-2.9767770478219697,0.7289625701944641,1.5103313,-0.030631115942290336,0.5081303690056569,951.92004,-0.25074351917613635,0.39132303686559106
118.75,31.75,16.483501,-0.019510904947916668,0.9570577172345748,10.448932,0.0782523877692945,0.6961544385527655,156.0102,-3.278214888139204,0.5360414746769296,2.9068737,0.031058311462402347,0.6572782740699704,1012.6775,-0.24986313328598486,0.42824026011135574
118.75,32.25,16.123104,0.04042885520241477,0.9177709718436865,10.161493,0.09032336148348723,0.6578481890579444,158.07704,-2.9464712431936557,0.5662383628508679,3.0423381,0.054644656903816,0.4485872598433097,1012.54407,-0.25861890388257575,0.43415955894921127
118.75,32.75,15.818295,0.08321536671031607,0.8387947307305674,10.021768,0.08341991540157434,0.7005320238586357,162.53758,-1.665398800011837,0.7358719786252073,3.1316679,0.08967370697946259,0.14885840417171553,1011.70264,-0.2569173177083333,0.45043390969684743
